Id;m_min;m_max;m_mean;m_std;victim;Cat;Label;victim_n
m209;24.71;44.78;31.7;6.82;No;Institution;m209;0
m2090;5.07;217.13;70.78;66.28;No;Institution;m2090;0
m2091;169.88;244.71;203.36;29.62;No;Institution;m2091;0
m2092;5.38;80.83;54.8;14.95;No;Institution;m2092;0
m2093;3.4;48.92;9.6;6.71;No;Institution;m2093;0
m2094;17.55;62.85;38.57;9.69;No;Institution;m2094;0
m2095;397.63;397.63;397.63;;No;Institution;m2095;0
m2096;3.25;51.16;24.23;24.39;No;Institution;m2096;0
m2097;58.71;82.22;70.2;11.76;No;Institution;m2097;0
m2098;3.93;84.34;32.61;21.83;No;Institution;m2098;0
m2099;9.29;38.11;17.06;8.61;No;Institution;m2099;0
m21;3.36;14.8;9.12;5.66;No;Institution;m21;0
m210;12.3;101.23;66.28;20.45;No;Institution;m210;0
m2100;239.32;239.32;239.32;;No;Institution;m2100;0
m2101;31.66;31.66;31.66;;No;Institution;m2101;0
m2102;14.13;39.81;30.8;5.82;No;Institution;m2102;0
m2103;69.7;100.79;86.85;15.79;No;Institution;m2103;0
m2104;66.72;66.72;66.72;;No;Institution;m2104;0
m2105;1.48;150.14;22.23;31.02;No;Institution;m2105;0
m2106;47.49;47.49;47.49;;No;Institution;m2106;0
m2107;105.67;105.67;105.67;;No;Institution;m2107;0
m2108;82.74;118.91;93.64;15.59;No;Institution;m2108;0
m2109;26.13;26.13;26.13;;No;Institution;m2109;0
m211;20.86;100.49;64.19;23.99;No;Institution;m211;0
m2110;69.85;69.85;69.85;;No;Institution;m2110;0
m2111;33.23;62.45;52.58;9.84;No;Institution;m2111;0
m2112;4.71;151.92;78.32;104.09;No;Institution;m2112;0
m2113;3.09;109.89;31.14;34.15;No;Institution;m2113;0
m2114;60.05;60.05;60.05;;No;Institution;m2114;0
m2115;31.37;714.16;284.09;135.02;Yes;Institution;m2115;1
m2116;56.13;67.22;60.32;6.02;No;Institution;m2116;0
m2117;12.74;12.74;12.74;;No;Institution;m2117;0
m2118;5.5;16.09;10.8;7.49;No;Institution;m2118;0
m2119;19.12;46.98;24.89;5.74;No;Institution;m2119;0
m212;137.63;137.63;137.63;;No;Institution;m212;0
m2120;33.33;39.73;36.53;4.53;No;Institution;m2120;0
m2121;48.67;48.67;48.67;;No;Institution;m2121;0
m2122;28.37;60.31;42.34;13.27;No;Institution;m2122;0
m2123;11.86;74.15;28.43;21.68;No;Institution;m2123;0
m2124;34.62;47.36;42.28;6.75;No;Institution;m2124;0
m2125;28.88;66.09;48.59;10.05;No;Institution;m2125;0
m2126;9.47;13.64;11.3;2.09;No;Institution;m2126;0
m2127;1.95;198.41;101.1;59.1;No;Institution;m2127;0
m2128;185.61;185.61;185.61;;No;Institution;m2128;0
m2129;5.47;146.92;80.81;40.76;No;Institution;m2129;0
m213;4.99;90.82;43.04;24.76;No;Institution;m213;0
m2130;174.81;174.81;174.81;;No;Institution;m2130;0
m2131;2.78;12.52;6.78;5.1;No;Institution;m2131;0
m2132;1.01;156.8;15.91;37.6;No;Institution;m2132;0
m2133;26.02;26.02;26.02;;No;Institution;m2133;0
m2134;82.25;143.37;113.17;21.16;No;Institution;m2134;0
m2135;25.83;55.44;42.07;6.92;No;Institution;m2135;0
m2136;127.61;127.61;127.61;;No;Institution;m2136;0
m2137;3.16;66.68;45.41;10.62;No;Institution;m2137;0
m2138;18.05;18.05;18.05;;No;Institution;m2138;0
m2139;35.04;54.08;46.32;8.45;No;Institution;m2139;0
m214;30.18;59.66;44.92;20.85;No;Institution;m214;0
m2140;4.12;156.88;29.24;47.01;No;Institution;m2140;0
m2141;630.03;630.03;630.03;;No;Institution;m2141;0
m2142;1.81;1.81;1.81;;No;Institution;m2142;0
m2143;203.33;304.23;238.3;45.07;No;Institution;m2143;0
m2144;168.24;354.65;269.67;74.9;No;Institution;m2144;0
m2145;15.2;31.94;22.93;4.73;No;Institution;m2145;0
m2146;7.32;393.34;66.85;46.57;No;Institution;m2146;0
m2147;28.32;28.32;28.32;;No;Institution;m2147;0
m2148;1.19;74.87;27.77;12.95;No;Institution;m2148;0
m2149;6.18;92.86;39.92;27.68;No;Institution;m2149;0
m215;38.88;211.7;146.71;52.07;No;Institution;m215;0
m2150;30.9;30.9;30.9;;No;Institution;m2150;0
m2151;10.38;10.38;10.38;;No;Institution;m2151;0
m2152;165.46;165.46;165.46;;No;Institution;m2152;0
m2153;54.17;54.17;54.17;;No;Institution;m2153;0
m2154;-320.0;364.66;121.55;383.05;No;Institution;m2154;0
m2155;16.91;46.33;30.53;10.6;No;Institution;m2155;0
m2156;76.09;153.92;115.0;55.03;No;Institution;m2156;0
m2157;150.96;150.96;150.96;;No;Institution;m2157;0
m2158;8.82;13.99;11.63;2.61;No;Institution;m2158;0
m2159;173.99;288.62;255.68;54.95;No;Institution;m2159;0
m216;131.34;131.34;131.34;;No;Institution;m216;0
m2160;46.91;61.93;54.65;6.07;No;Institution;m2160;0
m2161;60.22;60.22;60.22;;No;Institution;m2161;0
m2162;26.48;39.27;31.62;5.7;No;Institution;m2162;0
m2163;17.81;18.06;17.93;0.18;No;Institution;m2163;0
m2164;65.44;80.92;74.64;6.93;No;Institution;m2164;0
m2165;1.92;2.99;2.36;0.39;No;Institution;m2165;0
m2166;20.52;189.18;71.75;79.46;No;Institution;m2166;0
m2167;90.74;107.94;100.91;9.02;No;Institution;m2167;0
m2168;9.73;9.73;9.73;;No;Institution;m2168;0
m2169;41.75;76.59;62.76;12.31;No;Institution;m2169;0
m217;14.37;44.95;33.74;11.8;No;Institution;m217;0
m2170;3.61;132.34;47.95;34.08;No;Institution;m2170;0
m2171;0.73;125.55;64.86;30.22;No;Institution;m2171;0
m2172;4.56;4.56;4.56;;No;Institution;m2172;0
m2173;129.66;129.66;129.66;;No;Institution;m2173;0
m2174;0.35;2153.63;61.47;70.51;Yes;Institution;m2174;1
m2175;12.35;12.35;12.35;;No;Institution;m2175;0
m2176;30.08;868.25;120.33;215.79;No;Institution;m2176;0
m2177;44.23;44.23;44.23;;No;Institution;m2177;0
m2178;4.42;4.42;4.42;;No;Institution;m2178;0
m2179;12.95;33.36;23.78;7.13;No;Institution;m2179;0
m218;17.61;17.61;17.61;;No;Institution;m218;0
m2180;31.07;48.31;37.22;6.19;No;Institution;m2180;0
m2181;27.5;46.24;38.21;6.97;No;Institution;m2181;0
m2182;12.31;16.48;13.88;1.94;No;Institution;m2182;0
m2183;35.31;35.31;35.31;;No;Institution;m2183;0
m2184;0.94;11.63;6.02;4.59;No;Institution;m2184;0
m2185;0.28;81.38;23.51;28.24;No;Institution;m2185;0
m2186;75.13;97.14;86.46;10.03;No;Institution;m2186;0
m2187;141.54;208.3;179.74;32.98;No;Institution;m2187;0
m2188;2.97;110.59;39.04;34.15;No;Institution;m2188;0
m2189;96.85;96.85;96.85;;No;Institution;m2189;0
m219;59.97;59.97;59.97;;No;Institution;m219;0
m2190;6.72;57.66;32.19;36.02;No;Institution;m2190;0
m2191;17.93;17.93;17.93;;No;Institution;m2191;0
m2192;102.1;102.1;102.1;;No;Institution;m2192;0
m2193;8.46;9.29;8.88;0.59;No;Institution;m2193;0
m2194;2.37;162.45;61.64;61.49;No;Institution;m2194;0
m2195;1.45;80.93;19.34;22.33;No;Institution;m2195;0
m2196;8.0;8.0;8.0;;No;Institution;m2196;0
m2197;14.06;14.06;14.06;;No;Institution;m2197;0
m2198;24.8;24.8;24.8;;No;Institution;m2198;0
m2199;220.51;616.7;376.99;169.76;No;Institution;m2199;0
m22;9.48;176.45;83.66;37.81;No;Institution;m22;0
m220;94.07;237.66;149.77;53.07;No;Institution;m220;0
m2200;4.25;114.57;69.42;36.06;No;Institution;m2200;0
m2201;26.09;173.03;80.77;43.12;No;Institution;m2201;0
m2202;260.83;260.83;260.83;;No;Institution;m2202;0
m2203;231.07;333.58;273.62;45.18;No;Institution;m2203;0
m2204;12.41;23.28;17.95;5.44;No;Institution;m2204;0
m2205;38.79;58.73;47.56;9.46;No;Institution;m2205;0
m2206;11.76;14.7;13.32;1.21;No;Institution;m2206;0
m2207;32.97;32.97;32.97;;No;Institution;m2207;0
m2208;17.69;17.69;17.69;;No;Institution;m2208;0
m2209;18.16;56.34;39.86;14.2;No;Institution;m2209;0
m221;17.84;17.84;17.84;;No;Institution;m221;0
m2210;36.66;36.66;36.66;;No;Institution;m2210;0
m2211;347.94;347.94;347.94;;No;Institution;m2211;0
m2212;8.87;8.87;8.87;;No;Institution;m2212;0
m2213;128.2;201.36;164.78;51.73;No;Institution;m2213;0
m2214;32.19;32.19;32.19;;No;Institution;m2214;0
m2215;6.67;151.56;32.5;41.54;No;Institution;m2215;0
m2216;197.63;197.63;197.63;;No;Institution;m2216;0
m2217;77.61;77.61;77.61;;No;Institution;m2217;0
m2218;30.8;41.9;36.49;5.62;No;Institution;m2218;0
m2219;213.88;244.02;228.95;21.31;No;Institution;m2219;0
m222;26.06;161.9;93.98;96.05;No;Institution;m222;0
m2220;5.11;92.25;51.87;38.53;No;Institution;m2220;0
m2221;44.62;210.68;107.25;43.27;No;Institution;m2221;0
m2222;105.63;105.63;105.63;;No;Institution;m2222;0
m2223;3.09;3.09;3.09;;No;Institution;m2223;0
m2224;8.46;82.16;44.36;27.55;No;Institution;m2224;0
m2225;133.71;173.8;148.4;22.08;No;Institution;m2225;0
m2226;1.34;2.67;2.19;0.74;No;Institution;m2226;0
m2227;171.39;171.39;171.39;;No;Institution;m2227;0
m2228;64.21;115.66;88.56;25.83;No;Institution;m2228;0
m2229;66.95;66.95;66.95;;No;Institution;m2229;0
m223;24.52;24.52;24.52;;No;Institution;m223;0
m2230;0.35;68.6;29.66;24.82;No;Institution;m2230;0
m2231;41.57;73.57;57.64;14.61;No;Institution;m2231;0
m2232;30.23;30.23;30.23;;No;Institution;m2232;0
m2233;39.76;49.69;43.58;3.2;No;Institution;m2233;0
m2234;0.07;188.38;19.85;22.87;Yes;Institution;m2234;1
m2235;31.74;41.03;36.38;6.57;No;Institution;m2235;0
m2236;114.75;114.75;114.75;;No;Institution;m2236;0
m2237;26.92;60.56;42.97;16.87;No;Institution;m2237;0
m2238;40.43;53.59;47.01;9.31;No;Institution;m2238;0
m2239;8.54;19.81;12.14;5.2;No;Institution;m2239;0
m224;52.52;70.81;61.67;12.93;No;Institution;m224;0
m2240;160.62;184.57;172.6;16.94;No;Institution;m2240;0
m2241;0.42;261.69;49.86;42.02;Yes;Institution;m2241;1
m2242;74.31;74.31;74.31;;Yes;Institution;m2242;1
m2243;76.22;76.22;76.22;;No;Institution;m2243;0
m2244;18.99;18.99;18.99;;No;Institution;m2244;0
m2245;22.65;28.38;25.52;4.05;No;Institution;m2245;0
m2246;18.33;18.33;18.33;;No;Institution;m2246;0
m2247;40.26;60.8;46.93;8.21;No;Institution;m2247;0
m2248;102.44;102.44;102.44;;No;Institution;m2248;0
m2249;6.23;31.16;21.62;13.46;No;Institution;m2249;0
m225;15.4;15.4;15.4;;No;Institution;m225;0
m2250;25.19;25.19;25.19;;No;Institution;m2250;0
m2251;64.9;64.9;64.9;;No;Institution;m2251;0
m2252;-405.0;405.0;101.89;441.78;No;Institution;m2252;0
m2253;2.07;64.9;7.27;12.72;No;Institution;m2253;0
m2254;49.81;49.81;49.81;;No;Institution;m2254;0
m2255;3.9;18.61;11.26;10.4;No;Institution;m2255;0
m2256;1.98;63.36;36.38;31.35;No;Institution;m2256;0
m2257;45.8;264.92;144.61;60.14;No;Institution;m2257;0
m2258;184.98;207.81;196.4;16.14;No;Institution;m2258;0
m2259;4.14;4.14;4.14;;No;Institution;m2259;0
m226;29.46;29.46;29.46;;No;Institution;m226;0
m2260;1.82;100.8;21.91;34.72;No;Institution;m2260;0
m2261;125.36;213.65;169.5;62.43;No;Institution;m2261;0
m2262;38.12;172.13;105.12;94.76;No;Institution;m2262;0
m2263;117.05;238.5;189.9;51.52;No;Institution;m2263;0
m2264;9.76;14.9;12.81;2.7;No;Institution;m2264;0
m2265;183.61;183.61;183.61;;No;Institution;m2265;0
m2266;30.75;57.78;41.96;10.14;No;Institution;m2266;0
m2267;1.61;6.48;4.13;0.92;No;Institution;m2267;0
m2268;89.8;89.8;89.8;;No;Institution;m2268;0
m2269;53.82;68.37;61.1;10.29;No;Institution;m2269;0
m227;0.69;21.76;1.98;3.4;No;Institution;m227;0
m2270;46.17;46.17;46.17;;No;Institution;m2270;0
m2271;93.67;257.55;164.74;59.06;No;Institution;m2271;0
m2272;8.13;55.6;38.01;13.88;No;Institution;m2272;0
m2273;83.87;252.22;162.0;62.31;No;Institution;m2273;0
m2274;4.81;4.81;4.81;;No;Institution;m2274;0
m2275;14.6;14.6;14.6;;No;Institution;m2275;0
m2276;34.81;201.2;127.31;55.71;No;Institution;m2276;0
m2277;20.55;75.84;40.45;22.98;No;Institution;m2277;0
m2278;14.4;31.3;21.59;4.1;No;Institution;m2278;0
m2279;38.88;69.08;54.43;10.13;No;Institution;m2279;0
m228;218.54;233.06;225.8;10.27;No;Institution;m228;0
m2280;3.19;57.4;25.7;26.94;No;Institution;m2280;0
m2281;1.46;127.19;46.91;36.04;No;Institution;m2281;0
m2282;44.8;44.8;44.8;;No;Institution;m2282;0
m2283;12.75;20.76;16.58;2.85;No;Institution;m2283;0
m2284;6.13;6.13;6.13;;No;Institution;m2284;0
m2285;316.74;316.74;316.74;;No;Institution;m2285;0
m2286;0.48;174.02;49.88;38.36;Yes;Institution;m2286;1
m2287;23.55;38.9;33.14;4.88;No;Institution;m2287;0
m2288;26.3;38.44;32.68;4.83;No;Institution;m2288;0
m2289;24.78;30.35;27.24;2.31;No;Institution;m2289;0
m229;13.58;28.75;23.63;4.88;No;Institution;m229;0
m2290;2.96;9.61;6.27;2.25;No;Institution;m2290;0
m2291;29.47;49.76;37.13;6.94;No;Institution;m2291;0
m2292;19.17;110.48;79.09;51.91;No;Institution;m2292;0
m2293;-136.0;210.6;70.2;182.43;No;Institution;m2293;0
m2294;32.05;73.85;57.68;15.04;No;Institution;m2294;0
m2295;189.39;191.52;190.46;1.51;No;Institution;m2295;0
m2296;8.18;8.18;8.18;;No;Institution;m2296;0
m2297;118.46;118.46;118.46;;No;Institution;m2297;0
m2298;28.19;28.19;28.19;;No;Institution;m2298;0
m2299;3.38;3.38;3.38;;No;Institution;m2299;0
m23;31.41;49.46;40.44;12.76;No;Institution;m23;0
m230;3.91;88.73;27.57;25.47;No;Institution;m230;0
m2300;2.77;2.77;2.77;;No;Institution;m2300;0
m2301;30.62;53.29;42.14;6.38;No;Institution;m2301;0
m2302;2.2;59.69;31.67;28.77;No;Institution;m2302;0
m2303;35.44;75.04;61.39;13.08;No;Institution;m2303;0
m2304;24.67;24.67;24.67;;No;Institution;m2304;0
m2305;13.47;13.47;13.47;;No;Institution;m2305;0
m2306;44.29;48.7;46.5;3.12;No;Institution;m2306;0
m2307;8.49;317.43;81.34;59.97;No;Institution;m2307;0
m2308;53.32;53.32;53.32;;No;Institution;m2308;0
m2309;30.87;195.0;124.0;45.88;No;Institution;m2309;0
m231;10.94;22.09;16.21;4.59;No;Institution;m231;0
m2310;314.69;314.69;314.69;;No;Institution;m2310;0
m2311;19.63;25.53;22.27;3.0;No;Institution;m2311;0
m2312;39.86;43.33;41.6;2.45;No;Institution;m2312;0
m2313;6.14;13.09;9.29;2.06;No;Institution;m2313;0
m2314;82.76;82.76;82.76;;No;Institution;m2314;0
m2315;59.47;59.47;59.47;;No;Institution;m2315;0
m2316;46.51;46.51;46.51;;No;Institution;m2316;0
m2317;18.32;18.32;18.32;;No;Institution;m2317;0
m2318;18.84;18.84;18.84;;No;Institution;m2318;0
m2319;35.75;173.1;98.98;49.06;No;Institution;m2319;0
m232;3.33;151.62;26.2;31.75;No;Institution;m232;0
m2320;12.97;14.52;13.74;1.1;No;Institution;m2320;0
m2321;-434.0;434.0;79.9;322.8;No;Institution;m2321;0
m2322;18.79;138.69;84.6;35.75;No;Institution;m2322;0
m2323;69.73;79.52;75.16;4.98;No;Institution;m2323;0
m2324;32.55;62.17;49.63;7.61;No;Institution;m2324;0
m2325;29.74;29.74;29.74;;No;Institution;m2325;0
m2326;80.49;80.49;80.49;;No;Institution;m2326;0
m2327;9.59;18.76;15.18;4.9;No;Institution;m2327;0
m2328;4.42;4.42;4.42;;No;Institution;m2328;0
m2329;21.47;74.47;47.95;19.83;No;Institution;m2329;0
m233;15.36;15.36;15.36;;No;Institution;m233;0
m2330;13.29;13.29;13.29;;No;Institution;m2330;0
m2331;69.52;69.52;69.52;;No;Institution;m2331;0
m2332;26.58;162.14;95.53;49.38;No;Institution;m2332;0
m2333;7.57;49.87;29.33;21.18;No;Institution;m2333;0
m2334;76.27;94.53;83.2;7.06;No;Institution;m2334;0
m2335;9.44;40.97;22.07;5.77;No;Institution;m2335;0
m2336;30.53;49.41;39.02;6.13;No;Institution;m2336;0
m2337;13.4;13.4;13.4;;No;Institution;m2337;0
m2338;127.21;292.12;188.29;59.93;No;Institution;m2338;0
m2339;6.29;14.68;9.93;3.14;No;Institution;m2339;0
m234;4.6;4.6;4.6;;No;Institution;m234;0
m2340;4.03;6.62;5.32;1.83;No;Institution;m2340;0
m2341;3.31;134.76;28.01;32.88;No;Institution;m2341;0
m2342;1.95;41.84;5.76;9.64;No;Institution;m2342;0
m2343;200.99;322.75;249.93;40.67;No;Institution;m2343;0
m2344;55.81;55.81;55.81;;No;Institution;m2344;0
m2345;173.0;349.3;225.82;66.56;No;Institution;m2345;0
m2346;46.42;46.42;46.42;;No;Institution;m2346;0
m2347;21.86;130.28;101.54;27.79;No;Institution;m2347;0
m2348;37.78;37.78;37.78;;No;Institution;m2348;0
m2349;324.22;324.22;324.22;;No;Institution;m2349;0
m235;10.07;29.52;17.84;10.3;No;Institution;m235;0
m2350;29.56;29.56;29.56;;No;Institution;m2350;0
m2351;43.13;87.57;62.69;13.01;No;Institution;m2351;0
m2352;59.58;59.58;59.58;;No;Institution;m2352;0
m2353;108.39;108.39;108.39;;No;Institution;m2353;0
m2354;19.9;19.9;19.9;;No;Institution;m2354;0
m2355;14.98;41.11;28.04;18.48;No;Institution;m2355;0
m2356;21.49;35.49;28.51;4.24;No;Institution;m2356;0
m2357;38.55;38.55;38.55;;No;Institution;m2357;0
m2358;0.85;339.52;44.1;47.55;No;Institution;m2358;0
m2359;14.96;34.52;26.06;6.27;No;Institution;m2359;0
m236;0.72;52.94;26.48;14.13;No;Institution;m236;0
m2360;8.71;19.3;14.0;7.49;No;Institution;m2360;0
m2361;68.07;68.07;68.07;;No;Institution;m2361;0
m2362;9.91;124.33;73.74;46.92;No;Institution;m2362;0
m2363;412.31;412.31;412.31;;No;Institution;m2363;0
m2364;41.74;726.5;286.7;310.43;Yes;Institution;m2364;1
m2365;9.86;9.86;9.86;;No;Institution;m2365;0
m2366;33.08;64.79;51.39;8.1;No;Institution;m2366;0
m2367;5.05;85.91;43.94;44.91;No;Institution;m2367;0
m2368;72.69;120.95;101.28;18.22;No;Institution;m2368;0
m2369;51.98;84.01;67.14;10.83;No;Institution;m2369;0
m237;1.41;14.01;4.21;4.03;No;Institution;m237;0
m2370;6.86;51.51;27.64;20.05;No;Institution;m2370;0
m2371;3.15;107.62;53.11;34.13;No;Institution;m2371;0
m2372;260.16;260.16;260.16;;No;Institution;m2372;0
m2373;7.11;103.7;62.06;26.73;No;Institution;m2373;0
m2374;0.86;148.67;21.9;40.36;No;Institution;m2374;0
m2375;25.55;25.55;25.55;;No;Institution;m2375;0
m2376;29.22;29.22;29.22;;No;Institution;m2376;0
m2377;0.35;32.92;5.54;9.8;No;Institution;m2377;0
m2378;77.99;114.35;89.23;11.37;No;Institution;m2378;0
m2379;35.26;35.26;35.26;;No;Institution;m2379;0
m238;45.48;45.48;45.48;;No;Institution;m238;0
m2380;35.46;61.39;48.1;9.98;No;Institution;m2380;0
m2381;13.01;74.15;49.88;18.9;No;Institution;m2381;0
m2382;142.85;142.85;142.85;;No;Institution;m2382;0
m2383;106.49;180.4;143.44;52.26;No;Institution;m2383;0
m2384;3.96;8.98;6.66;1.78;No;Institution;m2384;0
m2385;1.85;53.15;21.7;19.52;No;Institution;m2385;0
m2386;34.71;42.42;38.56;5.45;No;Institution;m2386;0
m2387;19.36;26.29;21.54;2.61;No;Institution;m2387;0
m2388;38.93;143.56;96.86;30.4;No;Institution;m2388;0
m2389;37.36;37.36;37.36;;No;Institution;m2389;0
m239;16.69;16.69;16.69;;No;Institution;m239;0
m2390;-104.0;116.27;38.76;123.78;No;Institution;m2390;0
m2391;53.46;76.66;63.38;9.5;No;Institution;m2391;0
m2392;117.73;117.73;117.73;;No;Institution;m2392;0
m2393;91.66;99.1;95.38;5.26;No;Institution;m2393;0
m2394;76.17;76.17;76.17;;No;Institution;m2394;0
m2395;299.94;299.94;299.94;;No;Institution;m2395;0
m2396;13.34;79.8;51.99;26.46;No;Institution;m2396;0
m2397;129.69;129.69;129.69;;No;Institution;m2397;0
m2398;13.66;13.66;13.66;;No;Institution;m2398;0
m2399;42.13;72.91;61.76;17.05;No;Institution;m2399;0
m24;2.99;53.93;28.46;36.02;No;Institution;m24;0
m240;191.94;191.94;191.94;;No;Institution;m240;0
m2400;29.01;87.78;61.96;10.53;No;Institution;m2400;0
m2401;28.42;45.58;35.98;7.18;No;Institution;m2401;0
m2402;7.51;70.54;50.44;17.83;No;Institution;m2402;0
m2403;16.93;24.26;21.32;3.87;No;Institution;m2403;0
m2404;4.66;61.72;20.74;19.11;No;Institution;m2404;0
m2405;3.07;6.85;4.94;1.46;No;Institution;m2405;0
m2406;18.7;47.84;35.25;11.83;No;Institution;m2406;0
m2407;1.22;1.22;1.22;;No;Institution;m2407;0
m2408;14.2;14.2;14.2;;No;Institution;m2408;0
m2409;68.48;68.48;68.48;;No;Institution;m2409;0
m241;251.22;532.75;402.33;119.49;No;Institution;m241;0
m2410;191.21;202.61;196.91;8.06;No;Institution;m2410;0
m2411;18.63;44.54;26.89;12.06;No;Institution;m2411;0
m2412;41.9;41.9;41.9;;No;Institution;m2412;0
m2413;61.18;64.18;62.68;2.12;No;Institution;m2413;0
m2414;32.26;463.45;68.02;102.09;No;Institution;m2414;0
m2415;33.15;33.15;33.15;;No;Institution;m2415;0
m2416;74.96;74.96;74.96;;No;Institution;m2416;0
m2417;82.88;125.4;104.14;30.07;No;Institution;m2417;0
m2418;1.45;9.9;2.95;2.47;No;Institution;m2418;0
m2419;3.83;143.13;56.35;50.94;No;Institution;m2419;0
m242;31.49;34.84;33.16;2.37;No;Institution;m242;0
m2420;22.59;23.83;23.21;0.88;No;Institution;m2420;0
m2421;79.74;114.05;96.3;14.38;No;Institution;m2421;0
m2422;3.02;3.41;3.22;0.28;No;Institution;m2422;0
m2423;8.12;8.12;8.12;;No;Institution;m2423;0
m2424;-100.0;308.9;20.39;62.82;No;Institution;m2424;0
m2425;39.52;102.9;80.53;35.57;No;Institution;m2425;0
m2426;49.78;59.13;54.46;6.61;No;Institution;m2426;0
m2427;0.52;92.31;35.05;33.62;No;Institution;m2427;0
m2428;28.37;65.24;40.88;11.49;No;Institution;m2428;0
m2429;69.87;69.87;69.87;;No;Institution;m2429;0
m243;0.38;169.95;30.11;38.49;No;Institution;m243;0
m2430;31.79;56.15;45.0;10.21;No;Institution;m2430;0
m2431;53.12;53.12;53.12;;No;Institution;m2431;0
m2432;33.17;154.66;120.08;36.27;No;Institution;m2432;0
m2433;49.94;54.91;52.42;3.51;No;Institution;m2433;0
m2434;-459.0;459.0;49.02;466.79;No;Institution;m2434;0
m2435;214.24;214.24;214.24;;No;Institution;m2435;0
m2436;45.77;49.42;48.18;2.09;No;Institution;m2436;0
m2437;41.97;75.03;53.59;12.94;No;Institution;m2437;0
m2438;7.51;7.51;7.51;;No;Institution;m2438;0
m2439;13.73;184.5;79.08;47.98;No;Institution;m2439;0
m244;105.07;105.07;105.07;;No;Institution;m244;0
m2440;6.18;6.18;6.18;;No;Institution;m2440;0
m2441;108.99;118.06;113.52;6.41;No;Institution;m2441;0
m2442;91.91;91.91;91.91;;No;Institution;m2442;0
m2443;15.7;106.45;66.39;31.72;No;Institution;m2443;0
m2444;58.2;58.2;58.2;;No;Institution;m2444;0
m2445;34.71;34.71;34.71;;No;Institution;m2445;0
m2446;12.0;682.38;116.65;115.21;No;Institution;m2446;0
m2447;57.07;89.84;69.27;17.91;No;Institution;m2447;0
m2448;126.36;206.72;168.34;35.92;No;Institution;m2448;0
m2449;21.68;92.55;66.95;23.93;No;Institution;m2449;0
m245;9.75;9.75;9.75;;No;Institution;m245;0
m2450;-218.0;218.0;67.53;247.39;No;Institution;m2450;0
m2451;338.73;338.73;338.73;;No;Institution;m2451;0
m2452;10.13;10.13;10.13;;No;Institution;m2452;0
m2453;192.2;192.2;192.2;;No;Institution;m2453;0
m2454;108.53;252.88;178.57;40.65;No;Institution;m2454;0
m2455;18.81;28.55;23.68;6.89;No;Institution;m2455;0
m2456;86.11;117.52;100.05;12.07;No;Institution;m2456;0
m2457;3.51;58.27;16.73;17.51;No;Institution;m2457;0
m2458;32.9;32.9;32.9;;No;Institution;m2458;0
m2459;279.88;279.88;279.88;;No;Institution;m2459;0
m246;48.12;48.12;48.12;;No;Institution;m246;0
m2460;2.34;55.12;23.95;23.38;No;Institution;m2460;0
m2461;17.46;19.32;18.39;1.32;No;Institution;m2461;0
m2462;27.47;55.86;39.88;10.65;No;Institution;m2462;0
m2463;12.23;75.52;35.1;20.21;No;Institution;m2463;0
m2464;166.93;166.93;166.93;;No;Institution;m2464;0
m2465;17.7;17.7;17.7;;No;Institution;m2465;0
m2466;3.75;13.01;9.46;3.29;No;Institution;m2466;0
m2467;33.92;65.94;46.04;15.36;No;Institution;m2467;0
m2468;7.87;113.25;29.08;22.02;No;Institution;m2468;0
m2469;68.22;172.33;124.85;32.98;No;Institution;m2469;0
m247;1.78;1.78;1.78;;No;Institution;m247;0
m2470;2.89;80.97;48.29;19.26;No;Institution;m2470;0
m2471;124.41;126.48;125.25;1.09;No;Institution;m2471;0
m2472;94.9;1517.54;684.93;314.02;No;Institution;m2472;0
m2473;12.15;112.53;43.64;33.21;No;Institution;m2473;0
m2474;150.08;201.37;176.09;25.65;No;Institution;m2474;0
m2475;13.75;45.97;30.09;8.54;No;Institution;m2475;0
m2476;74.45;74.45;74.45;;No;Institution;m2476;0
m2477;57.51;57.51;57.51;;No;Institution;m2477;0
m2478;92.56;154.3;137.36;29.97;No;Institution;m2478;0
m2479;39.69;76.8;59.82;9.98;No;Institution;m2479;0
m248;22.91;28.14;24.75;2.32;No;Institution;m248;0
m2480;103.75;117.09;108.25;7.65;No;Institution;m2480;0
m2481;41.71;132.39;87.05;64.12;No;Institution;m2481;0
m2482;381.09;422.95;402.02;29.6;No;Institution;m2482;0
m2483;0.7;136.94;22.89;25.25;No;Institution;m2483;0
m2484;93.93;93.93;93.93;;No;Institution;m2484;0
m2485;23.11;32.73;27.92;6.8;No;Institution;m2485;0
m2486;30.17;30.99;30.58;0.58;No;Institution;m2486;0
m2487;102.02;102.02;102.02;;No;Institution;m2487;0
m2488;170.39;170.39;170.39;;No;Institution;m2488;0
m2489;16.82;134.14;58.67;42.92;No;Institution;m2489;0
m249;9.14;109.57;40.59;32.42;No;Institution;m249;0
m2490;1.79;13.52;7.65;8.29;No;Institution;m2490;0
m2491;19.6;92.27;64.47;19.29;No;Institution;m2491;0
m2492;17.35;17.35;17.35;;No;Institution;m2492;0
m2493;24.23;55.29;39.76;21.96;No;Institution;m2493;0
m2494;1.15;88.4;16.86;21.78;No;Institution;m2494;0
m2495;4.34;47.68;19.61;14.31;No;Institution;m2495;0
m2496;14.78;35.92;30.32;6.62;No;Institution;m2496;0
m2497;129.53;131.84;130.68;1.63;No;Institution;m2497;0
